date,hippodrome,temperature,precipitation,vent_kmh,terrain_lourd,date_str,hippo_str
2025-07-24,MAUQUENCHY,18.6,0.0,12.1,0,2025-07-24,MAUQUENCHY
2025-07-24,COMPIEGNE,21.5,0.1,10.2,0,2025-07-24,COMPIEGNE
2025-07-25,CABOURG,19.4,0.0,12.8,0,2025-07-25,CABOURG
2025-07-25,VICHY,20.2,0.3,15.8,0,2025-07-25,VICHY
2025-07-26,CLAIREFONTAINE,16.9,0.0,13.6,0,2025-07-26,CLAIREFONTAINE
2025-07-26,ENGHIEN,24.8,0.0,13.3,0,2025-07-26,ENGHIEN
2025-07-26,CAGNES/MER,25.8,0.0,8.2,0,2025-07-26,CAGNES/MER
2025-07-27,ENGHIEN,17.8,0.0,10.0,0,2025-07-27,ENGHIEN
2025-07-27,CAGNES/MER,28.7,0.0,6.3,0,2025-07-27,CAGNES/MER
2025-07-28,CLAIREFONTAINE,18.9,0.0,18.7,0,2025-07-28,CLAIREFONTAINE
2025-07-28,CAGNES/MER,26.1,0.0,14.8,0,2025-07-28,CAGNES/MER
2025-07-29,MESLAY DU MAINE,21.3,0.0,12.6,0,2025-07-29,MESLAY DU MAINE
2025-07-29,COMPIEGNE,21.0,0.1,12.1,0,2025-07-29,COMPIEGNE
2025-07-29,CABOURG,19.9,0.0,10.8,0,2025-07-29,CABOURG
2025-07-30,ENGHIEN,22.3,0.1,7.4,0,2025-07-30,ENGHIEN
2025-07-30,VICHY,18.2,0.0,4.0,0,2025-07-30,VICHY
2025-07-30,AMIENS,21.3,0.0,16.6,0,2025-07-30,AMIENS
2025-07-30,CAGNES/MER,26.1,0.0,11.0,0,2025-07-30,CAGNES/MER
2025-08-01,CABOURG,18.0,0.0,20.5,0,2025-08-01,CABOURG
2025-08-02,ENGHIEN,16.6,0.0,10.8,0,2025-08-02,ENGHIEN
2025-08-02,CLAIREFONTAINE,18.4,0.0,16.4,0,2025-08-02,CLAIREFONTAINE
2025-08-02,VICHY,20.1,0.0,13.3,0,2025-08-02,VICHY
2025-08-02,CAGNES/MER,24.1,0.5,15.4,0,2025-08-02,CAGNES/MER
2025-08-03,DEAUVILLE,20.6,0.0,20.2,0,2025-08-03,DEAUVILLE
2025-08-03,ENGHIEN,14.4,0.0,3.3,0,2025-08-03,ENGHIEN
2025-08-04,VICHY,28.0,0.0,4.7,0,2025-08-04,VICHY
2025-08-04,CAGNES/MER,27.8,0.0,11.7,0,2025-08-04,CAGNES/MER
2025-08-05,DEAUVILLE,18.2,0.0,26.4,0,2025-08-05,DEAUVILLE
2025-08-05,CABOURG,19.2,0.0,21.6,0,2025-08-05,CABOURG
2025-08-06,MAUQUENCHY,14.6,0.0,1.2,0,2025-08-06,MAUQUENCHY
2025-08-06,CLAIREFONTAINE,20.8,0.0,6.3,0,2025-08-06,CLAIREFONTAINE
2025-08-06,CAGNES/MER,27.0,0.0,1.7,0,2025-08-06,CAGNES/MER
2025-08-07,VICHY,19.5,0.0,7.0,0,2025-08-07,VICHY
2025-08-07,ENGHIEN,28.1,0.0,8.8,0,2025-08-07,ENGHIEN
2025-08-07,DEAUVILLE,23.5,0.0,8.5,0,2025-08-07,DEAUVILLE
2025-08-08,CABOURG,18.2,0.0,11.3,0,2025-08-08,CABOURG
2025-08-08,CLAIREFONTAINE,19.9,0.0,12.6,0,2025-08-08,CLAIREFONTAINE
2025-08-09,DEAUVILLE,19.6,0.0,16.5,0,2025-08-09,DEAUVILLE
2025-08-09,ENGHIEN,19.9,0.0,6.0,0,2025-08-09,ENGHIEN
2025-08-09,CAGNES/MER,30.0,0.0,4.0,0,2025-08-09,CAGNES/MER
2025-08-10,DEAUVILLE,22.1,0.0,17.3,0,2025-08-10,DEAUVILLE
2025-08-10,ENGHIEN,15.6,0.0,3.2,0,2025-08-10,ENGHIEN
2025-08-11,CLAIREFONTAINE,28.5,0.0,13.0,0,2025-08-11,CLAIREFONTAINE
2025-08-11,CAGNES/MER,33.6,0.0,7.2,0,2025-08-11,CAGNES/MER
2025-08-12,DEAUVILLE,24.6,0.0,10.6,0,2025-08-12,DEAUVILLE
2025-08-12,CABOURG,25.9,0.0,11.0,0,2025-08-12,CABOURG
2025-08-13,VICHY,25.7,0.0,6.8,0,2025-08-13,VICHY
2025-08-13,ENGHIEN,33.2,0.0,7.3,0,2025-08-13,ENGHIEN
2025-08-14,DEAUVILLE,21.2,0.0,8.5,0,2025-08-14,DEAUVILLE
2025-08-14,ENGHIEN,27.2,0.0,5.1,0,2025-08-14,ENGHIEN
2025-08-14,CAGNES/MER,32.0,0.0,7.1,0,2025-08-14,CAGNES/MER
2025-08-15,MESLAY DU MAINE,22.1,0.0,12.8,0,2025-08-15,MESLAY DU MAINE
2025-08-15,CLAIREFONTAINE,22.0,0.0,12.4,0,2025-08-15,CLAIREFONTAINE
2025-08-15,CABOURG,23.1,0.0,19.0,0,2025-08-15,CABOURG
2025-08-15,VICHY,33.5,0.0,9.4,0,2025-08-15,VICHY
2025-08-16,DEAUVILLE,25.0,0.0,15.7,0,2025-08-16,DEAUVILLE
2025-08-16,VINCENNES,25.1,0.0,12.0,0,2025-08-16,VINCENNES
2025-08-16,CAGNES/MER,32.0,0.0,8.7,0,2025-08-16,CAGNES/MER
2025-08-17,DEAUVILLE,24.8,0.0,12.6,0,2025-08-17,DEAUVILLE
2025-08-18,CLAIREFONTAINE,24.8,0.0,10.8,0,2025-08-18,CLAIREFONTAINE
2025-08-18,CAGNES/MER,31.5,0.0,6.0,0,2025-08-18,CAGNES/MER
2025-08-19,DEAUVILLE,24.2,0.0,14.0,0,2025-08-19,DEAUVILLE
2025-08-19,CABOURG,22.5,0.0,17.6,0,2025-08-19,CABOURG
2025-08-20,VICHY,17.9,0.1,5.5,0,2025-08-20,VICHY
2025-08-20,VINCENNES,19.4,0.4,11.8,0,2025-08-20,VINCENNES
2025-08-20,CAGNES/MER,25.2,1.6,10.5,0,2025-08-20,CAGNES/MER
2025-08-21,DEAUVILLE,20.1,0.0,24.0,0,2025-08-21,DEAUVILLE
2025-08-22,CABOURG,19.0,0.0,13.4,0,2025-08-22,CABOURG
2025-08-22,CLAIREFONTAINE,18.0,0.0,11.1,0,2025-08-22,CLAIREFONTAINE
2025-08-23,VINCENNES,13.8,0.0,3.6,0,2025-08-23,VINCENNES
2025-08-23,DEAUVILLE,20.2,0.0,7.8,0,2025-08-23,DEAUVILLE
2025-08-23,CAGNES/MER,26.9,0.0,7.5,0,2025-08-23,CAGNES/MER
2025-08-24,DEAUVILLE,19.1,0.0,12.6,0,2025-08-24,DEAUVILLE
2025-08-25,VINCENNES,23.1,0.0,4.1,0,2025-08-25,VINCENNES
2025-08-25,CLAIREFONTAINE,26.5,0.0,7.5,0,2025-08-25,CLAIREFONTAINE
2025-08-26,DEAUVILLE,21.8,0.4,11.8,0,2025-08-26,DEAUVILLE
2025-08-26,CABOURG,22.3,0.0,9.3,0,2025-08-26,CABOURG
2025-08-26,VICHY,25.6,0.4,10.5,0,2025-08-26,VICHY
2025-08-27,VINCENNES,20.5,0.0,8.8,0,2025-08-27,VINCENNES
2025-08-27,CLAIREFONTAINE,22.5,0.2,23.1,0,2025-08-27,CLAIREFONTAINE
2025-08-28,DEAUVILLE,20.1,0.4,20.5,0,2025-08-28,DEAUVILLE
2025-08-29,LAVAL,16.2,0.4,20.9,0,2025-08-29,LAVAL
2025-08-29,CABOURG,17.9,0.0,18.6,0,2025-08-29,CABOURG
2025-08-30,VINCENNES,17.6,0.0,12.2,0,2025-08-30,VINCENNES
2025-08-30,DEAUVILLE,20.5,0.1,24.9,0,2025-08-30,DEAUVILLE
2025-08-31,ParisLongchamp,19.9,0.4,10.6,0,2025-08-31,ParisLongchamp
2025-09-01,CHANTILLY,20.4,0.1,13.8,0,2025-09-01,CHANTILLY
2025-09-01,VINCENNES,19.6,0.6,12.2,0,2025-09-01,VINCENNES
2025-09-02,SAINT-CLOUD,16.5,2.1,24.7,1,2025-09-02,SAINT-CLOUD
2025-09-02,VINCENNES,18.5,0.0,21.2,0,2025-09-02,VINCENNES
2025-09-03,LYON-PARILLY,19.1,0.0,7.1,0,2025-09-03,LYON-PARILLY
2025-09-04,ParisLongchamp,20.5,0.1,15.7,0,2025-09-04,ParisLongchamp
2025-09-05,LYON-PARILLY,15.4,0.0,3.7,0,2025-09-05,LYON-PARILLY
2025-09-05,VINCENNES,21.1,0.0,6.6,0,2025-09-05,VINCENNES
2025-09-05,CHANTILLY,19.3,0.2,11.4,0,2025-09-05,CHANTILLY
2025-09-05,CLAIREFONTAINE,18.9,0.2,11.4,0,2025-09-05,CLAIREFONTAINE
2025-09-06,VINCENNES,18.3,0.0,8.8,0,2025-09-06,VINCENNES
2025-09-06,VICHY,24.6,0.0,5.7,0,2025-09-06,VICHY
2025-09-06,AMIENS,23.0,0.0,19.7,0,2025-09-06,AMIENS
2025-09-06,CRAON,25.2,0.0,21.0,0,2025-09-06,CRAON
2025-09-07,ParisLongchamp,29.6,0.0,12.1,0,2025-09-07,ParisLongchamp
2025-09-07,CRAON,25.5,0.0,20.8,0,2025-09-07,CRAON
2025-09-08,CASABLANCA,23.5,0.0,7.3,0,2025-09-08,CASABLANCA
2025-09-08,CRAON,21.0,0.0,10.7,0,2025-09-08,CRAON
2025-09-08,LE CROISE LAROCHE,22.2,0.0,9.8,0,2025-09-08,LE CROISE LAROCHE
2025-09-09,AUTEUIL,21.8,0.0,5.9,0,2025-09-09,AUTEUIL
2025-09-09,LYON-PARILLY,17.8,0.0,7.1,0,2025-09-09,LYON-PARILLY
2025-09-09,VINCENNES,21.5,0.0,8.6,0,2025-09-09,VINCENNES
2025-09-10,MESLAY DU MAINE,17.6,0.3,21.3,0,2025-09-10,MESLAY DU MAINE
2025-09-10,COMPIEGNE,14.1,0.0,8.8,0,2025-09-10,COMPIEGNE
2025-09-11,HAMBOURG,15.4,0.0,9.5,0,2025-09-11,HAMBOURG
2025-09-11,ParisLongchamp,18.6,0.0,21.6,0,2025-09-11,ParisLongchamp
2025-09-11,MAUQUENCHY,13.8,1.0,23.2,0,2025-09-11,MAUQUENCHY
2025-09-12,VINCENNES,19.8,0.0,15.6,0,2025-09-12,VINCENNES
2025-09-12,SAINT-CLOUD,18.7,0.1,18.6,0,2025-09-12,SAINT-CLOUD
2025-09-13,AUTEUIL,16.3,0.0,19.4,0,2025-09-13,AUTEUIL
2025-09-13,VINCENNES,16.4,0.0,19.3,0,2025-09-13,VINCENNES
2025-09-13,VICHY,17.2,0.0,10.6,0,2025-09-13,VICHY
2025-09-14,ParisLongchamp,17.0,0.0,13.5,0,2025-09-14,ParisLongchamp
2025-09-15,CHANTILLY,19.0,0.0,25.7,0,2025-09-15,CHANTILLY
2025-09-15,LAVAL,19.0,0.0,28.2,0,2025-09-15,LAVAL
2025-09-15,LE CROISE LAROCHE,15.9,0.1,31.6,0,2025-09-15,LE CROISE LAROCHE
2025-09-16,COMPIEGNE,18.3,0.0,23.5,0,2025-09-16,COMPIEGNE
2025-09-16,LYON-PARILLY,17.8,0.0,10.5,0,2025-09-16,LYON-PARILLY
