course_id,discipline,distance,nb_partants,allocation,taux_hippo,confiance_top1,cote_top1,ecart_top2,std_probas,temperature,precipitation,vent_kmh,terrain_lourd,erreur_top1,top1_dans_top5,gagnant_rang_chez_victor,precision_quinte,victor_correct,tranche_conf,tranche_dist
2,TROT_MONTE,1200,12,136527,0.4254,62.43,7.8,1.01,13.7,15.0,0.0,10.0,0,2,1,99,3,1,55-65%,Sprint
3,PLAT,3900,6,26000,0.4344,94.06,2.0,2.52,4.52,12.6,0.1,19.7,0,3,1,6,4,1,>65%,Fond
4,PLAT,3600,13,26000,0.4344,73.8,4.3,3.62,11.14,12.6,0.1,19.7,0,2,1,99,3,1,>65%,Fond
8,TROT_MONTE,1000,12,102104,0.4254,58.46,9.2,0.71,13.96,15.0,0.0,10.0,0,6,0,99,0,0,55-65%,Sprint
9,TROT_MONTE,1200,8,217043,0.4254,92.86,1.6,16.86,10.58,15.0,0.0,10.0,0,3,1,4,3,1,>65%,Sprint
10,TROT_MONTE,1650,12,102104,0.4254,66.98,6.3,1.1,3.62,15.0,0.0,10.0,0,10,0,4,2,0,>65%,Moyen
14,PLAT,3600,12,62000,0.4344,74.66,2.8,4.14,7.84,12.6,0.1,19.7,0,3,1,10,3,1,>65%,Fond
15,PLAT,3600,13,110000,0.4344,65.87,6.0,0.24,4.14,12.6,0.1,19.7,0,1,1,1,3,1,>65%,Fond
16,PLAT,3800,7,95000,0.4344,89.77,3.6,5.88,12.09,12.6,0.1,19.7,0,2,1,99,3,1,>65%,Fond
17,PLAT,3800,9,26000,0.4344,67.85,8.5,3.44,10.92,12.6,0.1,19.7,0,1,1,1,3,1,>65%,Fond
18,PLAT,3450,9,63000,0.4344,90.3,1.8,15.35,9.93,12.6,0.1,19.7,0,5,1,99,3,1,>65%,Fond
21,PLAT,3600,11,55000,0.4344,76.95,3.8,0.46,9.17,12.6,0.1,19.7,0,2,1,4,3,1,>65%,Fond
25,CROSS,2850,16,6000,0.3627,67.29,4.7,4.15,9.4,13.1,0.0,15.6,0,3,1,2,3,1,>65%,Fond
26,TROT_ATTELE,2850,10,23000,0.3627,81.12,2.4,5.04,8.41,13.1,0.0,15.6,0,1,1,1,2,1,>65%,Fond
29,CROSS,2850,16,53000,0.3627,78.73,2.4,11.55,10.84,13.1,0.0,15.6,0,1,1,1,4,1,>65%,Fond
30,TROT_ATTELE,2850,12,30000,0.3627,74.74,1.9,4.43,9.89,13.1,0.0,15.6,0,1,1,1,4,1,>65%,Fond
32,CROSS,2850,16,21000,0.3627,69.36,3.9,16.96,9.0,13.1,0.0,15.6,0,3,1,99,3,1,>65%,Fond
33,CROSS,2850,15,30000,0.3627,70.41,3.9,5.7,6.31,13.1,0.0,15.6,0,13,0,3,4,0,>65%,Fond
35,CROSS,2850,16,24000,0.3627,84.14,1.7,22.0,15.04,13.1,0.0,15.6,0,1,1,1,4,1,>65%,Fond
